Entity,Code,Year,CO2_per_capita
Qatar,QAT,2021,35.587307
Bahrain,BHR,2021,26.663702
Kuwait,KWT,2021,24.972116
Trinidad and Tobago,TTO,2021,23.677477
Brunei,BRN,2021,23.531528
United Arab Emirates,ARE,2021,21.792141
New Caledonia,NCL,2021,19.096947
Saudi Arabia,SAU,2021,18.70299
Oman,OMN,2021,17.916525
Australia,AUS,2021,15.091471
Mongolia,MNG,2021,15.029628
United States,USA,2021,14.858668
Sint Maarten (Dutch part),SXM,2021,14.704659
Kazakhstan,KAZ,2021,14.413248
Canada,CAN,2021,14.3004675
Palau,PLW,2021,13.210194
Faeroe Islands,FRO,2021,13.197505
Turkmenistan,TKM,2021,13.0887375
Luxembourg,LUX,2021,13.067673
Russia,RUS,2021,12.09865
South Korea,KOR,2021,11.886425
Taiwan,TWN,2021,11.85487
Libya,LBY,2021,11.064882
Saint Pierre and Miquelon,SPM,2021,10.505165
Curacao,CUW,2021,9.686285
Czechia,CZE,2021,9.241809
Anguilla,AIA,2021,9.173204
Iceland,ISL,2021,9.113199
Greenland,GRL,2021,9.0758
Poland,POL,2021,8.577376
Japan,JPN,2021,8.56574
Bermuda,BMU,2021,8.533475
Iran,IRN,2021,8.517396
Belgium,BEL,2021,8.243808
Germany,DEU,2021,8.08974
Netherlands,NLD,2021,8.058957
Aruba,ABW,2021,8.054269
China,CHN,2021,8.04574
Estonia,EST,2021,7.86407
Malaysia,MYS,2021,7.626435
Norway,NOR,2021,7.5732727
Turks and Caicos Islands,TCA,2021,7.558162
Ireland,IRL,2021,7.5283546
South Africa,ZAF,2021,7.339827
Austria,AUT,2021,7.243327
Finland,FIN,2021,6.7923503
New Zealand,NZL,2021,6.587057
Slovakia,SVK,2021,6.481401
Belarus,BLR,2021,6.2227383
Bulgaria,BGR,2021,6.1808095
Israel,ISR,2021,6.126762
Cyprus,CYP,2021,6.1087165
Niue,NIU,2021,6.0919776
Slovenia,SVN,2021,5.921149
Bahamas,BHS,2021,5.8503213
Guadeloupe,GLP,2021,5.784693
Andorra,AND,2021,5.7286263
Martinique,MTQ,2021,5.6945543
Italy,ITA,2021,5.5483704
Singapore,SGP,2021,5.4715614
Greece,GRC,2021,5.390837
Cook Islands,COK,2021,5.367806
Seychelles,SYC,2021,5.3366547
Turkey,TUR,2021,5.263368
United Kingdom,GBR,2021,5.1540995
British Virgin Islands,VGB,2021,5.0900307
Denmark,DNK,2021,5.0522227
Antigua and Barbuda,ATG,2021,5.027352
Saint Kitts and Nevis,KNA,2021,4.9924207
Hungary,HUN,2021,4.9902883
Lithuania,LTU,2021,4.981188
Spain,ESP,2021,4.9202914
Nauru,NRU,2021,4.7563233
France,FRA,2021,4.7413116
World,OWID_WRL,2021,4.693699
Montserrat,MSR,2021,4.659306
Ukraine,UKR,2021,4.6370573
Suriname,SUR,2021,4.5566983
Lebanon,LBN,2021,4.462823
Chile,CHL,2021,4.3834257
Croatia,HRV,2021,4.3598137
Iraq,IRQ,2021,4.262931
Reunion,REU,2021,4.2467885
Serbia,SRB,2021,4.2304993
Hong Kong,HKG,2021,4.2249703
Bosnia and Herzegovina,BIH,2021,4.1475167
Argentina,ARG,2021,4.117966
Romania,ROU,2021,4.104127
Maldives,MDV,2021,4.0619364
Switzerland,CHE,2021,4.019106
Barbados,BRB,2021,4.0017247
Algeria,DZA,2021,3.9899774
Portugal,PRT,2021,3.9647021
Thailand,THA,2021,3.889545
Latvia,LVA,2021,3.877535
Bonaire Sint Eustatius and Saba,BES,2021,3.8679013
Liechtenstein,LIE,2021,3.8647652
Guyana,GUY,2021,3.837854
Marshall Islands,MHL,2021,3.7781527
Azerbaijan,AZE,2021,3.7324574
Uzbekistan,UZB,2021,3.5688467
Mauritius,MUS,2021,3.4426038
Sweden,SWE,2021,3.4249187
Kosovo,OWID_KOS,2021,3.396079
Vietnam,VNM,2021,3.344827
Malta,MLT,2021,3.273186
North Macedonia,MKD,2021,3.25748
Mexico,MEX,2021,3.2138007
Equatorial Guinea,GNQ,2021,3.1966193
French Polynesia,PYF,2021,3.1239517
Panama,PAN,2021,2.9949045
Georgia,GEO,2021,2.929708
Venezuela,VEN,2021,2.8279076
Laos,LAO,2021,2.7982957
Montenegro,MNE,2021,2.789471
Jamaica,JAM,2021,2.7194328
Saint Lucia,LCA,2021,2.7046583
Dominican Republic,DOM,2021,2.6014054
Tunisia,TUN,2021,2.575461
Grenada,GRD,2021,2.5613847
Saint Helena,SHN,2021,2.5396094
Botswana,BWA,2021,2.5111492
Gabon,GAB,2021,2.4399939
Armenia,ARM,2021,2.4385939
Wallis and Futuna,WLF,2021,2.3869915
Ecuador,ECU,2021,2.321741
Jordan,JOR,2021,2.2957532
Egypt,EGY,2021,2.2846344
Brazil,BRA,2021,2.281014
Indonesia,IDN,2021,2.2621746
French Guiana,GUF,2021,2.189799
Dominica,DMA,2021,2.188569
North Korea,PRK,2021,2.170811
Saint Vincent and the Grenadines,VCT,2021,2.0478244
Uruguay,URY,2021,1.9665356
Cuba,CUB,2021,1.9595414
Bhutan,BTN,2021,1.9576669
Bolivia,BOL,2021,1.9306858
India,IND,2021,1.9250876
Morocco,MAR,2021,1.9035642
Macao,MAC,2021,1.8740766
Moldova,MDA,2021,1.8296566
Colombia,COL,2021,1.7800757
Belize,BLZ,2021,1.7231431
Peru,PER,2021,1.669323
Tonga,TON,2021,1.6490842
Albania,ALB,2021,1.618066
Fiji,FJI,2021,1.5902857
Namibia,NAM,2021,1.5867921
Costa Rica,CRI,2021,1.5171846
Kyrgyzstan,KGZ,2021,1.4259297
Micronesia (country),FSM,2021,1.4049654
Samoa,WSM,2021,1.3441752
Paraguay,PRY,2021,1.2793584
Congo,COG,2021,1.2790622
Philippines,PHL,2021,1.2668023
Syria,SYR,2021,1.2661933
Guatemala,GTM,2021,1.1543926
Cambodia,KHM,2021,1.1470591
El Salvador,SLV,2021,1.1409876
Cape Verde,CPV,2021,1.1356577
Honduras,HND,2021,1.060269
Tajikistan,TJK,2021,1.060136
Lesotho,LSO,2021,1.0003072
Pakistan,PAK,2021,0.99183357
Sri Lanka,LKA,2021,0.9544157
Eswatini,SWZ,2021,0.91188765
Mauritania,MRT,2021,0.8923355
Mayotte,MYT,2021,0.86475307
Papua New Guinea,PNG,2021,0.85528
Senegal,SEN,2021,0.8057197
Nicaragua,NIC,2021,0.7385937
Tuvalu,TUV,2021,0.70781016
Zimbabwe,ZWE,2021,0.7062929
Myanmar,MMR,2021,0.67487085
Ghana,GHA,2021,0.64912677
Nigeria,NGA,2021,0.6419209
Angola,AGO,2021,0.6191414
Palestine,PSE,2021,0.6023757
Benin,BEN,2021,0.5967434
Sao Tome and Principe,STP,2021,0.5915166
Timor,TLS,2021,0.5574256
Kiribati,KIR,2021,0.5550228
Bangladesh,BGD,2021,0.5501772
Vanuatu,VUT,2021,0.54789656
Nepal,NPL,2021,0.47188523
Sudan,SDN,2021,0.46078634
Solomon Islands,SLB,2021,0.44913858
Cote d'Ivoire,CIV,2021,0.42603302
Zambia,ZMB,2021,0.39419338
Yemen,YEM,2021,0.3782891
Kenya,KEN,2021,0.37496784
Comoros,COM,2021,0.3629009
Guinea,GIN,2021,0.35780457
Djibouti,DJI,2021,0.34297308
Cameroon,CMR,2021,0.3418291
Afghanistan,AFG,2021,0.29611897
Togo,TGO,2021,0.27091572
Burkina Faso,BFA,2021,0.25783187
Haiti,HTI,2021,0.25122553
Gambia,GMB,2021,0.24837817
Liberia,LBR,2021,0.23014884
Eritrea,ERI,2021,0.22666506
Mozambique,MOZ,2021,0.2230942
Tanzania,TZA,2021,0.20536575
Mali,MLI,2021,0.19035652
Guinea-Bissau,GNB,2021,0.17073512
Sierra Leone,SLE,2021,0.15431175
Ethiopia,ETH,2021,0.14792238
South Sudan,SSD,2021,0.14719196
Madagascar,MDG,2021,0.146784
Rwanda,RWA,2021,0.13033324
Uganda,UGA,2021,0.12606297
Chad,TCD,2021,0.11291891
Niger,NER,2021,0.10687553
Malawi,MWI,2021,0.07803988
Burundi,BDI,2021,0.055206448
Central African Republic,CAF,2021,0.041650932
Somalia,SOM,2021,0.035766363
Democratic Republic of Congo,COD,2021,0.027182981
